,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ABB,2021-05-27 00:00:00,2025-08-19 00:00:00,1057 days 00:00:00,100.0,88.79169040076442,-11.208309599235577,-38.8044196808012,100.0,0.567168263705993,12.648799624135282,506 days 00:00:00,3,3,0,0.0,0.0,-1.6024595687331424,-7.736124454148449,,-3.8488747412955373,,11 days 16:00:00,0.0,-3.7361031997451923,-0.9785721327116572,-0.31796796380839815,0.43969100289863555,-1.1939835245611754
ACB,2016-06-06 00:00:00,2025-08-19 00:00:00,2299 days 00:00:00,100.0,103.62395568235044,3.6239556823504415,257.7826417698435,100.0,3.071841390834051,38.85900890308476,1835 days 00:00:00,14,14,0,0.0,28.57142857142857,32.421845513251895,-14.730909090909087,13.198601429684095,-4.20426900809421,41 days 00:00:00,13 days 14:24:00,1.0728530808765393,0.2588539773107468,0.11515075679344976,0.014585451552164572,1.0519488614288777,0.1541396371156424
ACG,2021-12-23 00:00:00,2025-08-19 00:00:00,902 days 00:00:00,100.0,97.20596261609923,-2.794037383900772,-37.64144705170834,100.0,0.19720336578206396,2.88294375925793,724 days 00:00:00,1,1,0,0.0,0.0,-2.7968314212846774,-2.7968314212846774,,-2.7968314212846774,,15 days 00:00:00,0.0,-2.794037383900777,-0.7180210574143505,-0.39548834806331307,0.39372616009111944,-0.7756629373482751
ACV,2017-04-18 00:00:00,2025-08-19 00:00:00,2085 days 00:00:00,100.0,271.01001026430487,171.01001026430487,33.31212761428135,100.0,2.637645807395893,15.05232037233445,1578 days 00:00:00,6,6,0,0.0,66.66666666666666,112.18572363388584,-3.782477026404478,36.5828337815816,-3.0030762756303573,54 days 06:00:00,14 days 00:00:00,12.13786630868817,28.501668377384146,1.34004779775563,1.2668421386369364,1.7893255488180198,2.5295734835553776
AGR,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,100.69319039244647,0.6931903924464677,556.8965517241414,100.0,2.384447318451762,51.17195502348708,2100 days 00:00:00,14,14,0,0.0,35.714285714285715,41.6186046511628,-15.843681318681307,16.234969745494503,-7.41854909938628,36 days 00:00:00,11 days 21:20:00,1.0119188727430626,0.049513599460461855,0.1121706507910748,0.002140702423298942,1.0454788008593858,0.16280121902799347
ANV,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,389.0774455602745,289.0774455602745,903.4017615144114,100.0,6.903555251255533,29.206654827469908,1833 days 00:00:00,9,9,0,0.0,77.77777777777779,121.45109298190495,-18.98567870485678,33.43443354577079,-12.71471435242838,37 days 10:17:08.571428571,6 days 12:00:00,3.365875179211427,32.11971617336384,1.0850180326869936,0.8226348621870592,1.5671584121953543,1.7923396275712697
BAB,2018-05-29 00:00:00,2025-08-19 00:00:00,1803 days 00:00:00,100.0,110.33794036007669,10.337940360076686,-9.91920595570106,100.0,0.8306710771291703,16.770057199074056,1105 days 00:00:00,4,4,0,0.0,25.0,16.58320000000001,-2.9944055944055763,16.58320000000001,-1.8120853402889898,18 days 00:00:00,18 days 16:00:00,2.7741377593177248,2.584485090019167,0.26400349320333016,0.11994740554879135,1.3664756565521208,0.5667797091695745
BAF,2022-05-04 00:00:00,2025-08-19 00:00:00,824 days 00:00:00,100.0,127.82559996145795,27.825599961457954,20.91398900175212,100.0,1.106449094643287,11.608616620152581,437 days 00:00:00,5,5,0,0.0,60.0,17.011900532859695,-3.1016597510373343,10.14132428226376,-2.029957010243517,26 days 00:00:00,13 days 12:00:00,7.070877573033433,5.565119992291589,0.9801758112163131,0.9895973029100184,1.5005898126523547,1.9800507499237847
BCM,2018-07-13 00:00:00,2025-08-19 00:00:00,1767 days 00:00:00,100.0,201.84634373387468,101.84634373387469,398.16280384397675,100.0,1.8442713573518121,17.570684032948158,763 days 00:00:00,6,6,0,0.0,66.66666666666666,37.23765319537575,-9.532991321118589,24.740310607487377,-7.689756530124503,39 days 18:00:00,11 days 00:00:00,5.809415845561967,16.97439062231244,0.8740083922704122,0.8885809658909851,1.5044855406694226,1.5788778429701178
BGE,2024-12-19 00:00:00,2025-08-19 00:00:00,164 days 00:00:00,100.0,100.61880565477689,0.6188056547768923,-36.12491128459902,100.0,0.09990009990008275,0.09990009990008275,1 days 00:00:00,1,0,1,0.6188056547768923,,,,,,,,,,1.2714162369199484,13.838272906814204,7.201438848922073,9.251602691042297
